Provider_ID,Measure_ID,Value,Footnote,Start_Date,End_Date
"050701","MSPB-1","  .990376","","01012015","12312015"
"050704","MSPB-1"," 1.175923","","01012015","12312015"
"050708","MSPB-1","  .875018","","01012015","12312015"
"050710","MSPB-1","  .861261","","01012015","12312015"
"050714","MSPB-1","  .931351","","01012015","12312015"
"050723","MSPB-1","  .817569","","01012015","12312015"
"050724","MSPB-1","  .944509","","01012015","12312015"
"050726","MSPB-1","  .889014","","01012015","12312015"
"050735","MSPB-1"," 1.281544","","01012015","12312015"
"050736","MSPB-1"," 1.010444","","01012015","12312015"
"050738","MSPB-1"," 1.262768","","01012015","12312015"
"050739","MSPB-1"," 1.034525","","01012015","12312015"
"050742","MSPB-1"," 1.082744","","01012015","12312015"
"050744","MSPB-1"," 1.166062","","01012015","12312015"
"050745","MSPB-1"," 1.232876","","01012015","12312015"
"050747","MSPB-1"," 1.330919","","01012015","12312015"
"050748","MSPB-1","  .858014","","01012015","12312015"
"050754","MSPB-1","  .904216","","01012015","12312015"
"050755","MSPB-1"," 1.057781","","01012015","12312015"
"050757","MSPB-1"," 1.067957","","01012015","12312015"
"100073","MSPB-1"," 1.083874","","01012015","12312015"
"100075","MSPB-1"," 1.049826","","01012015","12312015"
"100077","MSPB-1"," 1.034077","","01012015","12312015"
"100080","MSPB-1"," 1.051515","","01012015","12312015"
"100081","MSPB-1"," 1.092487","","01012015","12312015"
"100084","MSPB-1"," 1.024672","","01012015","12312015"
"100086","MSPB-1"," 1.044951","","01012015","12312015"
"100087","MSPB-1"," 1.062966","","01012015","12312015"
"100088","MSPB-1"," 1.033887","","01012015","12312015"
"100090","MSPB-1","  .984530","","01012015","12312015"
"100092","MSPB-1"," 1.019775","","01012015","12312015"
"100093","MSPB-1"," 1.009487","","01012015","12312015"
"100099","MSPB-1"," 1.034911","","01012015","12312015"
"100102","MSPB-1"," 1.055954","","01012015","12312015"
"100105","MSPB-1"," 1.068299","","01012015","12312015"
"100106","MSPB-1","  .978554","","01012015","12312015"
"100107","MSPB-1"," 1.072379","","01012015","12312015"
"100109","MSPB-1"," 1.024675","","01012015","12312015"
"100110","MSPB-1"," 1.008482","","01012015","12312015"
"100113","MSPB-1"," 1.033438","","01012015","12312015"
"100117","MSPB-1"," 1.019129","","01012015","12312015"
"100118","MSPB-1"," 1.005399","","01012015","12312015"
"100121","MSPB-1","  .990949","","01012015","12312015"
